装置,部品,症状,Error,条件,工程,原因,対策,備考,発生日
装置A,Bearing,異音,E103,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで異音を確認。通常環境下で発生。,2026-04-26
装置A,Belt,誤動作,E310,低温,検査,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBeltで誤動作を確認。低温環境下で発生。,2025-10-14
装置B,Motor,誤動作,E102,夜間,組立,潤滑不足,給油・グリスアップ実施,装置BのMotorで誤動作を確認。夜間環境下で発生。,2026-07-09
装置B,Bearing,異音,E103,高温,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置BのBearingで異音を確認。高温環境下で発生。,2025-08-21
装置A,Sensor,誤動作,E310,通常,梱包,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2025-08-12
装置A,Sensor,誤動作,E103,高温,検査,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。高温環境下で発生。,2025-08-24
装置A,Sensor,誤動作,E103,低温,組立,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。低温環境下で発生。,2025-12-26
装置D,Sensor,誤動作,E310,高温,組立,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。高温環境下で発生。,2025-08-20
装置A,Valve,漏れ,E310,通常,検査,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。通常環境下で発生。,2026-04-16
装置A,Motor,漏れ,E310,低温,組立,潤滑不足,給油・グリスアップ実施,装置AのMotorで漏れを確認。低温環境下で発生。,2025-11-30
装置A,Bearing,振動,E103,通常,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置AのBearingで振動を確認。通常環境下で発生。,2026-07-02
装置C,Bearing,振動,E103,高湿度,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置CのBearingで振動を確認。高湿度環境下で発生。,2026-02-25
装置D,Sensor,誤動作,E103,高温,検査,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。高温環境下で発生。,2026-03-23
装置D,Sensor,誤動作,E310,高温,搬送,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。高温環境下で発生。,2025-08-15
装置B,Sensor,誤動作,E310,高温,搬送,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。高温環境下で発生。,2025-11-04
装置B,Belt,異音,E103,通常,搬送,軸ずれ,アライメント再調整・固定ボルト増し締め,装置BのBeltで異音を確認。通常環境下で発生。,2025-11-01
装置B,Sensor,誤動作,E310,通常,組立,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。通常環境下で発生。,2026-05-01
装置A,Sensor,誤動作,E310,通常,搬送,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2025-10-16
装置B,Sensor,誤動作,E310,通常,組立,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。通常環境下で発生。,2025-10-08
装置B,Belt,誤動作,E205,夜間,搬送,センサ故障,センサ交換・配線点検,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-06-17
装置B,Bearing,異音,E101,高温,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置BのBearingで異音を確認。高温環境下で発生。,2025-08-26
装置A,Bearing,振動,E103,低温,梱包,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで振動を確認。低温環境下で発生。,2025-10-05
装置A,Bearing,異音,E103,高温,梱包,摩耗,Bearing交換・定期給油周期の見直し,装置AのBearingで異音を確認。高温環境下で発生。,2026-05-01
装置B,Sensor,誤動作,E310,高湿度,組立,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。高湿度環境下で発生。,2026-06-22
装置A,Sensor,誤動作,E310,通常,組立,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2026-05-06
装置C,Belt,誤動作,E205,通常,組立,潤滑不足,給油・グリスアップ実施,装置CのBeltで誤動作を確認。通常環境下で発生。,2026-05-04
装置B,Sensor,発熱,E205,夜間,搬送,異物混入,フィルター清掃・防塵カバー追加,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-06-03
装置C,Belt,発熱,E310,通常,検査,摩耗,Bearing交換・定期給油周期の見直し,装置CのBeltで発熱を確認。通常環境下で発生。,2026-03-18
装置A,Motor,発熱,E102,高温,組立,潤滑不足,給油・グリスアップ実施,装置AのMotorで発熱を確認。高温環境下で発生。,2025-12-18
装置D,Valve,漏れ,E310,高温,組立,異物混入,フィルター清掃・防塵カバー追加,装置DのValveで漏れを確認。高温環境下で発生。,2026-03-12
装置A,Sensor,誤動作,E103,通常,組立,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2025-09-27
装置B,Sensor,誤動作,E310,低温,搬送,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。低温環境下で発生。,2026-03-13
装置A,Sensor,誤動作,E310,高温,組立,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。高温環境下で発生。,2026-05-26
装置A,Sensor,誤動作,E310,通常,梱包,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。通常環境下で発生。,2026-05-28
装置A,Belt,漏れ,E205,通常,搬送,潤滑不足,給油・グリスアップ実施,装置AのBeltで漏れを確認。通常環境下で発生。,2025-10-16
装置D,Belt,漏れ,E205,低温,梱包,配線不良,配線点検・コネクタ交換,装置DのBeltで漏れを確認。低温環境下で発生。,2026-04-11
装置D,Valve,漏れ,E101,通常,組立,異物混入,フィルター清掃・防塵カバー追加,装置DのValveで漏れを確認。通常環境下で発生。,2025-09-19
装置B,Belt,誤動作,E102,通常,搬送,潤滑不足,給油・グリスアップ実施,装置BのBeltで誤動作を確認。通常環境下で発生。,2026-06-23
装置A,Belt,誤動作,E205,通常,搬送,センサ故障,センサ交換・配線点検,装置AのBeltで誤動作を確認。通常環境下で発生。,2026-01-26
装置A,Bearing,異音,E101,高温,梱包,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで異音を確認。高温環境下で発生。,2025-09-17
装置B,Valve,漏れ,E101,通常,組立,配線不良,配線点検・コネクタ交換,装置BのValveで漏れを確認。通常環境下で発生。,2025-10-09
装置C,Bearing,異音,E103,高湿度,検査,摩耗,Bearing交換・定期給油周期の見直し,装置CのBearingで異音を確認。高湿度環境下で発生。,2026-06-12
装置B,Valve,漏れ,E101,高温,検査,異物混入,フィルター清掃・防塵カバー追加,装置BのValveで漏れを確認。高温環境下で発生。,2026-01-01
装置C,Sensor,誤動作,E103,通常,搬送,センサ故障,センサ交換・配線点検,装置CのSensorで誤動作を確認。通常環境下で発生。,2025-12-08
装置D,Belt,誤動作,E102,高湿度,梱包,センサ故障,センサ交換・配線点検,装置DのBeltで誤動作を確認。高湿度環境下で発生。,2026-07-25
装置D,Belt,振動,E103,高温,組立,異物混入,フィルター清掃・防塵カバー追加,装置DのBeltで振動を確認。高温環境下で発生。,2026-06-28
装置C,Belt,漏れ,E205,高湿度,組立,配線不良,配線点検・コネクタ交換,装置CのBeltで漏れを確認。高湿度環境下で発生。,2026-01-08
装置B,Bearing,異音,E103,通常,検査,摩耗,Bearing交換・定期給油周期の見直し,装置BのBearingで異音を確認。通常環境下で発生。,2025-08-18
装置A,Sensor,誤動作,E310,高温,検査,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。高温環境下で発生。,2025-08-27
装置A,Bearing,振動,E101,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで振動を確認。通常環境下で発生。,2026-07-07
装置C,Bearing,振動,E103,高湿度,検査,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBearingで振動を確認。高湿度環境下で発生。,2025-12-23
装置C,Valve,漏れ,E101,通常,組立,異物混入,フィルター清掃・防塵カバー追加,装置CのValveで漏れを確認。通常環境下で発生。,2026-03-24
装置B,Motor,誤動作,E310,通常,梱包,センサ故障,センサ交換・配線点検,装置BのMotorで誤動作を確認。通常環境下で発生。,2025-08-08
装置B,Valve,漏れ,E310,高温,搬送,異物混入,フィルター清掃・防塵カバー追加,装置BのValveで漏れを確認。高温環境下で発生。,2026-07-19
装置A,Belt,漏れ,E103,高温,梱包,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBeltで漏れを確認。高温環境下で発生。,2025-08-15
装置C,Bearing,振動,E103,低温,梱包,摩耗,Bearing交換・定期給油周期の見直し,装置CのBearingで振動を確認。低温環境下で発生。,2026-06-26
装置C,Motor,発熱,E101,高温,検査,潤滑不足,給油・グリスアップ実施,装置CのMotorで発熱を確認。高温環境下で発生。,2026-05-01
装置A,Sensor,誤動作,E310,低温,組立,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。低温環境下で発生。,2025-08-19
装置A,Bearing,異音,E103,低温,検査,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで異音を確認。低温環境下で発生。,2025-09-21
装置A,Sensor,誤動作,E310,高温,検査,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。高温環境下で発生。,2025-10-23
装置A,Valve,漏れ,E101,低温,検査,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。低温環境下で発生。,2025-10-30
装置A,Bearing,異音,E101,高温,組立,摩耗,Bearing交換・定期給油周期の見直し,装置AのBearingで異音を確認。高温環境下で発生。,2026-02-02
装置B,Sensor,誤動作,E205,高湿度,検査,異物混入,フィルター清掃・防塵カバー追加,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-07-18
装置C,Sensor,誤動作,E103,高温,組立,センサ故障,センサ交換・配線点検,装置CのSensorで誤動作を確認。高温環境下で発生。,2025-11-05
装置C,Sensor,誤動作,E310,通常,組立,センサ故障,センサ交換・配線点検,装置CのSensorで誤動作を確認。通常環境下で発生。,2025-09-21
装置A,Valve,漏れ,E101,低温,梱包,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。低温環境下で発生。,2026-04-25
装置A,Bearing,振動,E103,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置AのBearingで振動を確認。通常環境下で発生。,2026-06-22
装置B,Belt,誤動作,E102,通常,搬送,配線不良,配線点検・コネクタ交換,装置BのBeltで誤動作を確認。通常環境下で発生。,2025-11-16
装置C,Bearing,振動,E101,通常,搬送,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBearingで振動を確認。通常環境下で発生。,2026-02-03
装置B,Sensor,誤動作,E310,低温,梱包,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。低温環境下で発生。,2026-05-08
装置C,Belt,漏れ,E310,高温,組立,潤滑不足,給油・グリスアップ実施,装置CのBeltで漏れを確認。高温環境下で発生。,2025-11-02
装置C,Bearing,異音,E103,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのBearingで異音を確認。通常環境下で発生。,2025-08-03
装置D,Sensor,誤動作,E310,夜間,搬送,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。夜間環境下で発生。,2025-11-19
装置C,Valve,漏れ,E310,高湿度,検査,異物混入,フィルター清掃・防塵カバー追加,装置CのValveで漏れを確認。高湿度環境下で発生。,2026-02-02
装置D,Motor,発熱,E101,高温,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置DのMotorで発熱を確認。高温環境下で発生。,2026-02-03
装置B,Motor,異音,E205,通常,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置BのMotorで異音を確認。通常環境下で発生。,2026-01-02
装置B,Bearing,異音,E101,高温,組立,軸ずれ,アライメント再調整・固定ボルト増し締め,装置BのBearingで異音を確認。高温環境下で発生。,2026-07-16
装置B,Belt,振動,E103,通常,組立,センサ故障,センサ交換・配線点検,装置BのBeltで振動を確認。通常環境下で発生。,2025-12-17
装置A,Sensor,誤動作,E310,低温,組立,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。低温環境下で発生。,2025-09-16
装置D,Motor,異音,E205,高湿度,梱包,センサ故障,センサ交換・配線点検,装置DのMotorで異音を確認。高湿度環境下で発生。,2025-09-11
装置B,Sensor,誤動作,E310,高温,組立,センサ故障,センサ交換・配線点検,装置BのSensorで誤動作を確認。高温環境下で発生。,2026-07-10
装置C,Valve,漏れ,E310,通常,組立,配線不良,配線点検・コネクタ交換,装置CのValveで漏れを確認。通常環境下で発生。,2025-12-20
装置C,Sensor,誤動作,E103,高温,梱包,センサ故障,センサ交換・配線点検,装置CのSensorで誤動作を確認。高温環境下で発生。,2025-09-17
装置A,Bearing,異音,E101,通常,検査,摩耗,Bearing交換・定期給油周期の見直し,装置AのBearingで異音を確認。通常環境下で発生。,2026-01-05
装置C,Valve,漏れ,E310,通常,組立,異物混入,フィルター清掃・防塵カバー追加,装置CのValveで漏れを確認。通常環境下で発生。,2025-08-31
装置D,Sensor,誤動作,E310,夜間,検査,センサ故障,センサ交換・配線点検,装置DのSensorで誤動作を確認。夜間環境下で発生。,2026-03-07
装置D,Motor,誤動作,E310,通常,検査,潤滑不足,給油・グリスアップ実施,装置DのMotorで誤動作を確認。通常環境下で発生。,2026-07-13
装置D,Valve,漏れ,E101,低温,搬送,異物混入,フィルター清掃・防塵カバー追加,装置DのValveで漏れを確認。低温環境下で発生。,2025-12-05
装置B,Belt,発熱,E205,夜間,搬送,異物混入,フィルター清掃・防塵カバー追加,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-06-21
装置B,Motor,異音,E103,低温,梱包,センサ故障,センサ交換・配線点検,装置BのMotorで異音を確認。低温環境下で発生。,2026-03-14
装置B,Sensor,誤動作,E205,夜間,検査,センサ故障,センサ交換・配線点検,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-06-06
装置C,Valve,漏れ,E310,高湿度,梱包,配線不良,配線点検・コネクタ交換,装置CのValveで漏れを確認。高湿度環境下で発生。,2026-07-06
装置D,Bearing,異音,E103,高温,梱包,摩耗,Bearing交換・定期給油周期の見直し,装置DのBearingで異音を確認。高温環境下で発生。,2025-11-13
装置A,Motor,発熱,E205,夜間,搬送,センサ故障,センサ交換・配線点検,装置AのMotorで発熱を確認。夜間環境下で発生。,2026-05-23
装置D,Valve,漏れ,E310,高温,組立,異物混入,フィルター清掃・防塵カバー追加,装置DのValveで漏れを確認。高温環境下で発生。,2025-11-05
装置D,Bearing,振動,E101,低温,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置DのBearingで振動を確認。低温環境下で発生。,2025-09-19
装置A,Belt,異音,E310,低温,組立,配線不良,配線点検・コネクタ交換,装置AのBeltで異音を確認。低温環境下で発生。,2025-12-30
装置C,Valve,漏れ,E310,高温,検査,配線不良,配線点検・コネクタ交換,装置CのValveで漏れを確認。高温環境下で発生。,2025-10-23
装置C,Motor,誤動作,E102,通常,搬送,軸ずれ,アライメント再調整・固定ボルト増し締め,装置CのMotorで誤動作を確認。通常環境下で発生。,2026-04-14
装置D,Motor,振動,E101,高湿度,組立,潤滑不足,給油・グリスアップ実施,装置DのMotorで振動を確認。高湿度環境下で発生。,2026-05-31
装置C,Valve,漏れ,E101,高温,梱包,異物混入,フィルター清掃・防塵カバー追加,装置CのValveで漏れを確認。高温環境下で発生。,2026-03-28
装置A,Valve,漏れ,E101,通常,搬送,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。通常環境下で発生。,2025-07-30
装置A,Sensor,誤動作,E310,高温,組立,センサ故障,センサ交換・配線点検,装置AのSensorで誤動作を確認。高温環境下で発生。,2026-04-24
装置B,Belt,誤動作,E205,高湿度,検査,センサ故障,センサ交換・配線点検,夜勤帯・高湿度条件下で発生。従来はあまり見られなかった組み合わせ。,2026-07-04
装置B,Bearing,異音,E101,通常,梱包,軸ずれ,アライメント再調整・固定ボルト増し締め,装置BのBearingで異音を確認。通常環境下で発生。,2026-04-02
装置A,Motor,漏れ,E205,高湿度,組立,異物混入,フィルター清掃・防塵カバー追加,装置AのMotorで漏れを確認。高湿度環境下で発生。,2026-07-25
装置C,Bearing,異音,E103,低温,梱包,摩耗,Bearing交換・定期給油周期の見直し,装置CのBearingで異音を確認。低温環境下で発生。,2025-09-16
装置A,Valve,漏れ,E310,高温,組立,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。高温環境下で発生。,2026-04-25
装置A,Valve,漏れ,E310,通常,検査,異物混入,フィルター清掃・防塵カバー追加,装置AのValveで漏れを確認。通常環境下で発生。,2025-10-03
装置A,Bearing,異音,E103,低温,搬送,摩耗,Bearing交換・定期給油周期の見直し,装置AのBearingで異音を確認。低温環境下で発生。,2025-12-22
